Season,Name,Position,Team,Birth.Date,GP,EVG,EVA1,EVA2,EVPTS,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV,Draft.Eligible
2017 - 18 Regular Season,David Quenneville,D,Medicine Hat Tigers,1998-03-13,70,11,16,17,44,0.55,0.5,0.05,27,340,0.08,0.5,0.31,NO
2017 - 18 Regular Season,Ryan Jevne,F,Medicine Hat Tigers,1998-04-08,69,10,9,10,29,0.45,0.5,-0.05,19,340,0.06,0.69,0.45,NO
2017 - 18 Regular Season,Dawson Martin,F,Red Deer Rebels,1998-01-31,0,0,0,0,0,,0.45,,0,253,0,,,NO
2017 - 18 Regular Season,Caleb Fantillo,F,Saskatoon Blades,1998-04-21,38,6,1,2,9,0.41,0.47,-0.06,7,316,0.02,0.53,0.41,NO
2017 - 18 Regular Season,Mark Rassell,F,Medicine Hat Tigers,1997-02-28,70,41,16,1,58,0.54,0.5,0.04,57,340,0.17,0.78,0.77,NO
2017 - 18 Regular Season,Mason Shaw,F,Medicine Hat Tigers,1998-11-03,0,0,0,0,0,,0.5,,0,340,0,,,NO
2017 - 18 Regular Season,Jared Dmytriw,F,Red Deer Rebels,1998-06-06,71,9,7,2,18,0.41,0.45,-0.04,16,253,0.06,0.47,0.42,NO
2017 - 18 Regular Season,Matthew Phillips,F,Victoria Royals,1998-04-06,71,25,20,13,58,0.6,0.53,0.07,45,351,0.13,0.77,0.6,NO
2017 - 18 Regular Season,Dillon Dube,F,Kelowna Rockets,1998-07-20,53,23,22,8,53,0.57,0.52,0.05,45,336,0.13,0.8,0.68,NO
2017 - 18 Regular Season,Skyler McKenzie,F,Portland Winterhawks,1998-01-20,72,22,17,11,50,0.63,0.57,0.06,39,345,0.11,0.69,0.54,NO
2017 - 18 Regular Season,Kaden Elder,F,Swift Current Broncos,1998-03-16,67,14,6,3,23,0.47,0.56,-0.09,20,336,0.06,0.59,0.51,NO
2017 - 18 Regular Season,Nolan Volcan,F,Seattle Thunderbirds,1998-07-04,70,19,18,11,48,0.51,0.5,0.01,37,329,0.11,0.74,0.57,NO
2017 - 18 Regular Season,Josh Mahura,D,Regina Pats,1998-05-05,60,12,16,11,39,0.67,0.52,0.15,28,290,0.1,0.49,0.35,NO
2017 - 18 Regular Season,Jeff de Wit,F,Kootenay ICE,1998-03-14,43,6,4,1,11,0.46,0.52,-0.06,10,290,0.03,0.65,0.59,NO
2017 - 18 Regular Season,Mason McCarty,F,Red Deer Rebels,1997-01-26,69,28,20,7,55,0.57,0.45,0.12,48,253,0.19,0.9,0.79,NO
2017 - 18 Regular Season,Tyler Benson,F,Vancouver Giants,1998-03-15,58,19,15,6,40,0.49,0.47,0.02,34,305,0.11,0.85,0.72,NO
2017 - 18 Regular Season,Ty Ronning,F,Vancouver Giants,1997-10-20,70,35,10,6,51,0.56,0.47,0.09,45,305,0.15,0.76,0.67,NO
2017 - 18 Regular Season,Matt Barberis,D,Vancouver Giants,1998-01-19,56,2,5,7,14,0.5,0.47,0.03,7,305,0.02,0.3,0.15,NO
2017 - 18 Regular Season,Luke Coleman,F,Calgary Hitmen,1998-09-09,72,7,13,4,24,0.45,0.45,0,20,287,0.07,0.6,0.5,NO
2017 - 18 Regular Season,Tanner Kaspick,F,Brandon Wheat Kings,1998-01-28,60,14,11,8,33,0.61,0.52,0.09,25,343,0.07,0.62,0.47,NO
2017 - 18 Regular Season,Nolan Patrick,F,Brandon Wheat Kings,1998-09-19,0,0,0,0,0,,0.52,,0,343,0,,,NO
2017 - 18 Regular Season,Kale Clague,D,Brandon Wheat Kings,1998-06-05,54,5,16,16,37,0.64,0.52,0.12,21,343,0.06,0.46,0.26,NO
2017 - 18 Regular Season,Colton Kroeker,F,Kootenay ICE,1997-01-21,68,11,18,11,40,0.48,0.43,0.05,29,279,0.1,0.77,0.56,NO
2017 - 18 Regular Season,Sam Steel,F,Regina Pats,1998-02-03,54,16,13,9,38,0.65,0.52,0.13,29,290,0.1,0.72,0.55,NO
2017 - 18 Regular Season,Kade Jensen,D,Brandon Wheat Kings,1997-05-03,58,7,4,1,12,0.51,0.52,-0.01,11,343,0.03,0.23,0.21,NO
2017 - 18 Regular Season,Rykr Cole,F,Spokane Chiefs,1997-04-29,8,2,0,1,3,0.53,0.54,-0.01,2,372,0.01,0.33,0.22,NO
2017 - 18 Regular Season,Dante Hannoun,F,Victoria Royals,1998-08-02,66,15,14,9,38,0.53,0.53,0,29,351,0.08,0.6,0.46,NO
2017 - 18 Regular Season,Jermaine Loewen,F,Kamloops Blazers,1998-01-18,66,23,12,9,44,0.63,0.49,0.14,35,272,0.13,0.75,0.59,NO
2017 - 18 Regular Season,Colton Veloso,F,Kootenay ICE,1997-06-27,71,13,9,8,30,0.39,0.43,-0.04,22,279,0.08,0.73,0.54,NO
2017 - 18 Regular Season,Kolby Johnson,F,Prince Albert Raiders,1998-05-12,2,0,0,0,0,0,0.5,-0.5,0,347,0,,,NO
2017 - 18 Regular Season,Jaeger White,F,Medicine Hat Tigers,1998-04-03,68,10,13,5,28,0.53,0.5,0.03,23,340,0.07,0.68,0.56,NO
2017 - 18 Regular Season,Beck Malenstyn,F,Calgary Hitmen,1998-02-04,42,9,9,2,20,0.55,0.45,0.1,18,287,0.06,0.62,0.56,NO
2017 - 18 Regular Season,Quinn Benjafield,F,Kamloops Blazers,1998-02-02,69,14,11,7,32,0.53,0.49,0.04,25,272,0.09,0.68,0.53,NO
2017 - 18 Regular Season,Ryely McKinstry,D,Calgary Hitmen,1998-07-26,0,0,0,0,0,,0.45,,0,287,0,,,NO
2017 - 18 Regular Season,Morgan Geekie,F,Tri-City Americans,1998-07-20,68,21,17,12,50,0.52,0.49,0.03,38,316,0.12,0.72,0.55,NO
2017 - 18 Regular Season,Tyson Helgesen,D,Spokane Chiefs,1997-06-10,72,6,9,10,25,0.54,0.54,0,15,372,0.04,0.36,0.22,NO
2017 - 18 Regular Season,Tomas Soustal,F,Edmonton Oil Kings,1997-02-15,69,13,16,8,37,0.44,0.52,-0.08,29,336,0.09,0.64,0.5,NO
2017 - 18 Regular Season,Noah Gregor,F,Moose Jaw Warriors,1998-07-28,60,18,12,10,40,0.56,0.61,-0.05,30,446,0.07,0.67,0.5,NO
2017 - 18 Regular Season,Blake Bargar,F,Seattle Thunderbirds,1998-03-06,58,8,8,4,20,0.45,0.5,-0.05,16,329,0.05,0.59,0.47,NO
2017 - 18 Regular Season,Josh Brook,D,Moose Jaw Warriors,1999-06-17,45,2,4,12,18,0.71,0.61,0.1,6,446,0.01,0.26,0.09,NO
2017 - 18 Regular Season,Colin Paradis,D,Moose Jaw Warriors,1998-04-27,66,2,2,9,13,0.47,0.61,-0.14,4,446,0.01,0.28,0.09,NO
2017 - 18 Regular Season,Jaret Anderson-Dolan,F,Spokane Chiefs,1999-09-12,70,19,15,16,50,0.52,0.54,-0.02,34,372,0.09,0.76,0.52,NO
2017 - 18 Regular Season,Dom Schmiemann,D,Calgary Hitmen,1999-04-02,68,1,4,6,11,0.46,0.45,0.01,5,287,0.02,0.25,0.11,NO
2017 - 18 Regular Season,Tyler Adams,F,Seattle Thunderbirds,1997-04-11,0,0,0,0,0,,0.5,,0,329,0,,,NO
2017 - 18 Regular Season,Colby Sissons,D,Swift Current Broncos,1998-01-15,72,8,16,12,36,0.63,0.56,0.07,24,336,0.07,0.38,0.25,NO
2017 - 18 Regular Season,Hayden Ostir,F,Medicine Hat Tigers,1999-07-06,41,6,7,3,16,0.4,0.5,-0.1,13,340,0.04,0.67,0.54,NO
2017 - 18 Regular Season,Kailer Yamamoto,F,Spokane Chiefs,1998-09-29,40,14,18,8,40,0.61,0.54,0.07,32,372,0.09,0.8,0.64,NO
2017 - 18 Regular Season,Dalton Hamaliuk,D,Spokane Chiefs,1998-03-21,71,4,8,3,15,0.51,0.54,-0.03,12,372,0.03,0.28,0.23,NO
2017 - 18 Regular Season,Ryan Vandervlis,F,Lethbridge Hurricanes,1998-05-23,19,10,2,0,12,0.51,0.49,0.02,12,311,0.04,0.67,0.67,NO
2017 - 18 Regular Season,Zach Fischer,F,Medicine Hat Tigers,1997-07-19,46,17,5,8,30,0.6,0.5,0.1,22,340,0.06,0.65,0.48,NO
2017 - 18 Regular Season,James Hamblin,F,Medicine Hat Tigers,1999-04-27,70,8,14,16,38,0.53,0.5,0.03,22,340,0.06,0.55,0.32,NO
2017 - 18 Regular Season,Spencer Bast,F,Moose Jaw Warriors,1997-01-05,0,0,0,0,0,,0.61,,0,446,0,,,NO
2017 - 18 Regular Season,Dawson Davidson,D,Regina Pats,1998-04-07,69,5,9,5,19,0.42,0.52,-0.1,14,290,0.05,0.42,0.31,NO
2017 - 18 Regular Season,Nolan Kneen,D,Kamloops Blazers,1999-03-22,68,4,11,6,21,0.45,0.49,-0.04,15,272,0.06,0.41,0.29,NO
2017 - 18 Regular Season,Ralph Jarratt,D,Victoria Royals,1998-03-18,53,1,9,2,12,0.57,0.53,0.04,10,351,0.03,0.24,0.2,NO
2017 - 18 Regular Season,Ryan Peckford,F,Moose Jaw Warriors,1999-03-04,73,14,14,8,36,0.58,0.61,-0.03,28,446,0.06,0.63,0.49,NO
2017 - 18 Regular Season,Brayden Pachal,D,Prince Albert Raiders,1999-08-23,68,7,6,6,19,0.47,0.5,-0.03,13,347,0.04,0.32,0.22,NO
2017 - 18 Regular Season,Reese Johnson,F,Red Deer Rebels,1998-07-10,72,14,6,2,22,0.44,0.45,-0.01,20,253,0.08,0.63,0.57,NO
2017 - 18 Regular Season,Jake Leschyshyn,F,Regina Pats,1999-03-10,64,10,9,1,20,0.42,0.52,-0.1,19,290,0.07,0.67,0.63,NO
2017 - 18 Regular Season,Scott Walford,D,Victoria Royals,1999-01-12,69,2,6,9,17,0.5,0.53,-0.03,8,351,0.02,0.3,0.14,NO
2017 - 18 Regular Season,Schael Higson,D,Brandon Wheat Kings,1998-05-11,71,4,2,12,18,0.51,0.52,-0.01,6,343,0.02,0.26,0.09,NO
2017 - 18 Regular Season,James Hilsendager,D,Kelowna Rockets,1997-03-20,54,3,6,4,13,0.48,0.52,-0.04,9,336,0.03,0.37,0.26,NO
2017 - 18 Regular Season,Maxwell James,F,Tri-City Americans,1997-04-13,58,2,4,3,9,0.33,0.49,-0.16,6,316,0.02,0.5,0.33,NO
2017 - 18 Regular Season,Brady Pouteau,D,Lethbridge Hurricanes,1998-01-09,59,1,6,5,12,0.45,0.49,-0.04,7,311,0.02,0.33,0.19,NO
2017 - 18 Regular Season,Vladislav Lukin,F,Tri-City Americans,1997-01-24,0,0,0,0,0,,0.49,,0,316,0,,,NO
2017 - 18 Regular Season,Jake Elmer,F,Lethbridge Hurricanes,1998-12-31,70,16,4,11,31,0.55,0.49,0.06,20,311,0.06,0.82,0.53,NO
2017 - 18 Regular Season,Erik Gardiner,F,Kelowna Rockets,1999-03-21,31,5,4,4,13,0.46,0.52,-0.06,9,336,0.03,0.76,0.53,NO
2017 - 18 Regular Season,Luc Smith,F,Kamloops Blazers,1998-01-20,62,13,10,5,28,0.57,0.49,0.08,23,272,0.08,0.65,0.53,NO
2017 - 18 Regular Season,Nic Holowko,F,Kamloops Blazers,1997-06-26,17,4,4,0,8,0.34,0.49,-0.15,8,272,0.03,0.73,0.73,NO
2017 - 18 Regular Season,Donovan Neuls,F,Seattle Thunderbirds,1997-10-24,71,16,16,11,43,0.57,0.5,0.07,32,329,0.1,0.65,0.48,NO
2017 - 18 Regular Season,Matthew Wedman,F,Seattle Thunderbirds,1999-05-25,72,10,17,9,36,0.48,0.5,-0.02,27,329,0.08,0.64,0.48,NO
2017 - 18 Regular Season,Gage Ramsay,F,Saskatoon Blades,1998-10-15,63,6,12,2,20,0.41,0.47,-0.06,18,316,0.06,0.62,0.56,NO
2017 - 18 Regular Season,Sahvan Khaira,D,Swift Current Broncos,1998-01-02,65,5,6,9,20,0.53,0.56,-0.03,11,336,0.03,0.32,0.18,NO
2017 - 18 Regular Season,Dawson Holt,F,Vancouver Giants,1999-02-16,65,10,5,7,22,0.49,0.47,0.02,15,305,0.05,0.61,0.42,NO
2017 - 18 Regular Season,Brennan Menell,D,Lethbridge Hurricanes,1997-05-24,0,0,0,0,0,,0.49,,0,311,0,,,NO
2017 - 18 Regular Season,Brendan Semchuk,F,Edmonton Oil Kings,1999-02-21,49,8,7,4,19,0.47,0.47,0,15,305,0.05,0.59,0.47,NO
2017 - 18 Regular Season,Brennan Riddle,D,Lethbridge Hurricanes,1997-07-27,67,0,1,8,9,0.42,0.49,-0.07,1,311,0,0.23,0.03,NO
2017 - 18 Regular Season,Cody Paivarinta,D,Prince Albert Raiders,1998-06-13,14,0,0,0,0,0.62,0.5,0.12,0,347,0,0,0,NO
2017 - 18 Regular Season,Cody Glass,F,Portland Winterhawks,1999-04-01,64,18,20,16,54,0.66,0.57,0.09,38,345,0.11,0.74,0.52,NO
2017 - 18 Regular Season,Sean Montgomery,F,Prince Albert Raiders,1998-03-07,72,9,12,5,26,0.5,0.5,0,21,347,0.06,0.58,0.47,NO
